,time (mimcroseconds),,,
n,iterative double,recusive double,iterative int,recursive int
0,1.5,1.1,0.8,0.3
1,2,1.2,9.1,0.6
2,0.7,0.8,0.6,0.8
3,0.4,0.4,0.5,0.7
4,0.5,0.5,0.4,0.6
5,0.4,0.5,0.5,0.6
6,0.4,0.5,0.6,0.7
7,0.5,0.5,0.5,0.8
8,0.5,0.5,0.6,0.8
9,0.5,0.5,0.6,0.9
10,0.6,0.6,0.6,0.9
11,0.6,0.6,0.6,1
12,0.6,0.6,0.7,1.1
13,0.6,0.6,0.7,1.2
14,0.7,0.6,0.7,1.3
15,0.6,0.7,0.8,1.4
16,0.6,0.7,0.9,1.5
17,0.7,0.7,0.9,9.4
18,0.8,0.8,0.8,1.6
19,0.8,0.8,0.9,1.5
20,0.7,0.8,0.8,1.6
21,0.7,0.9,0.9,1.8
22,0.8,0.8,1,1.9
23,0.8,0.9,1,1.9
24,0.8,0.8,1,1.9
25,0.8,0.9,1,2
26,0.8,0.8,1,2.1
27,0.9,0.9,1.1,2.2
28,0.9,0.9,1.1,2.3
29,0.9,1,1.1,2.3
30,1,1,1.2,2.4
31,1,1,1.2,2.5
32,1,1,1.3,2.6
33,1.1,1,1.3,2.6
34,1.1,1.1,1.3,2.7
35,1,1.2,1.3,2.7
36,1.1,1.2,1.4,2.8
37,1.1,1.2,1.4,2.9
38,1.1,1.2,1.4,3
39,1.1,1.1,1.4,3
40,1.2,1.2,1.5,3.1
41,1.2,1.2,1.5,3.2
42,1.3,1.2,1.6,3.2
43,1.2,1.2,1.6,3.3
44,1.3,1.3,1.6,3.4
45,1.3,1.3,1.7,3.5
46,1.3,1.3,1.7,3.5
47,1.3,1.4,1.7,3.6
48,1.3,1.4,1.7,3.6
49,1.4,1.4,1.7,3.8
50,1.4,1.4,1.7,3.9
51,1.4,1.4,1.8,3.8
52,1.4,1.4,1.8,3.9
53,1.4,1.5,1.9,4
54,1.4,1.5,1.9,4
55,1.6,1.5,2,4.2
56,1.5,1.6,1.9,4.2
57,1.5,1.5,2,5.8
58,1.5,1.5,1.9,4.4
59,1.6,1.6,2,4.4
60,1.6,1.6,2.1,4.5
61,1.6,1.6,2.1,4.6
62,1.7,1.6,2.1,4.7
63,1.6,1.7,2.1,4.8
64,1.7,1.7,2.1,4.9
65,1.8,1.7,2.1,4.9
66,1.7,1.7,2.2,5
67,1.9,1.8,2.3,5
68,1.8,1.8,2.2,5
69,1.8,1.8,2.3,5.2
70,1.8,1.8,2.3,5.2
71,1.8,1.9,2.4,5.3
72,1.9,1.9,2.4,5.5
73,1.9,1.9,2.4,5.5
74,1.9,1.9,2.5,5.5
75,1.9,1.9,2.4,5.7
76,1.9,2,2.5,5.6
77,27.8,1.8,2.3,5.2
78,1.7,1.8,2.4,5.4
79,1.8,1.8,2.4,9.5
80,1.9,1.9,2.5,5.5
81,1.9,1.9,2.4,5.6
82,1.8,1.8,2.4,5.6
83,2,1.9,44.8,6.3
84,2.1,2.1,2.7,6.1
85,2.1,2.1,2.7,6.3
86,2.1,2.2,2.8,6.4
87,2.2,2.2,2.8,10.9
88,2.2,2.3,2.8,6.6
89,2.3,2.2,2.9,6.6
90,2.2,2.3,2.9,6.7
91,2.2,2.3,3,6.8
92,2.3,2.3,3,6.8
93,2.3,2.4,3,6.9
94,2.2,2.3,3,6.9
95,2.3,2.3,3.1,7.1
96,2.3,2.4,3.1,7.1
97,27.6,2.3,2.9,6.6
98,2.2,2.3,2.8,6.7
99,2.2,2.3,2.9,6.7
100,2.3,2.2,2.9,6.9
101,2.2,2.2,2.9,6.9
102,2.3,2.3,3.1,7
103,2.3,2.3,3,7
104,2.3,2.3,3.1,7.1
105,2.4,2.4,3,7.2
106,2.4,2.3,3.1,7.2
107,2.4,2.4,3.1,7.4
108,2.4,2.4,3.1,7.5
109,2.5,2.4,3.2,7.5
110,2.4,2.4,3.2,7.5
111,2.5,2.5,3.2,7.5
112,2.5,2.5,3.3,7.6
113,2.5,2.5,3.3,7.9
114,2.5,2.5,3.3,7.7
115,2.5,2.6,3.3,7.7
116,2.5,2.5,3.5,8.1
117,2.6,2.5,7.4,20.3
118,2.6,2.6,3.5,11.8
119,2.6,2.6,3.5,13.7
120,2.6,2.7,3.5,11.5
121,2.6,2.7,3.6,11.7
122,2.7,2.6,3.6,13.6
123,2.7,2.7,3.5,14.2
124,2.8,2.8,3.6,12
125,2.8,2.8,3.7,12.2
126,2.8,2.8,3.7,12.3
127,2.8,2.8,3.7,12.1
128,2.8,2.9,3.8,12.1
129,2.9,2.9,3.7,12.2
130,2.8,2.8,3.8,12.2
131,2.9,2.9,3.8,12.2
132,2.9,2.9,8.5,12.9
133,2.9,2.9,9.1,12.4
134,2.9,3,3.9,15.8
135,3,2.9,3.9,12.7
136,2.9,2.9,3.9,12.6
137,2.9,2.9,3.9,14.3
138,3,2.9,4,12.6
139,3,3,4,12.9
140,3,3,4,12.8
141,3.1,3,4,15.2
142,3.1,3,4.1,13.2
143,3.1,3,4.1,13.2
144,3.1,3.1,4.1,13.2
145,3.1,3.2,4.1,13.3
146,3.2,12.3,4.3,13.6
147,3.2,3.2,4.2,15.1
148,3.2,3.2,4.2,14.8
149,3.3,3.2,4.2,15.1
150,3.2,3.3,4.2,15.3
151,3.3,3.2,4.3,15.1
152,3.3,3.3,4.3,16.8
153,3.2,3.3,4.4,15.5
154,3.3,3.3,4.4,15.4
155,3.3,3.3,4.3,15.4
156,3.4,3.4,4.4,15.4
157,3.4,3.4,4.5,15.9
158,3.4,3.4,4.5,20.3
159,3.4,3.4,4.4,15.8
160,3.5,3.4,4.5,15.7
161,3.4,3.5,4.6,15.8
162,3.5,3.5,4.5,16
163,3.5,3.5,4.6,19.1
164,3.5,3.5,4.7,17.8
165,3.5,3.5,4.6,16.1
166,3.5,3.6,4.7,18.1
167,3.5,3.6,4.7,17.7
168,8.4,3.6,4.8,19.1
169,3.6,3.6,4.8,16.1
170,3.7,3.6,4.8,22.4
171,3.6,3.6,4.8,17.6
172,3.8,3.7,4.9,16.4
173,3.7,3.7,4.8,16.6
174,3.7,3.7,10.4,17.5
175,3.7,3.7,5,16.5
176,3.8,3.8,4.9,16.6
177,3.8,3.8,5,18.4
178,3.8,3.8,5,18.1
179,3.7,3.7,5,18.1
180,3.9,3.8,5.1,18.3
181,3.9,3.8,5.1,23
182,3.9,3.9,5.1,18.6
183,3.9,3.8,5.2,18.4
184,3.9,3.9,5.2,18.5
185,3.9,3.9,5.2,18.6
186,4,4,5.2,18.7
187,3.9,3.9,5.2,18.5
188,3.9,3.9,5.2,19
189,4,3.9,5.3,19.2
190,4,3.9,5.3,18.8
191,4,4.1,5.4,19.4
192,4.1,4.1,10.6,19.2
193,4.1,9.5,5.4,19.4
194,4.1,4,5.5,19.3
195,4.1,4.1,5.4,19.4
196,4.2,4.2,5.4,19.2
197,4.1,12.3,5.6,22
198,4.2,4.1,5.6,19.7
199,4.2,4.2,5.5,19.8
200,4.3,4.2,5.6,21.6
201,4.2,4.2,5.6,20
202,4.3,9.1,5.8,20.6
203,4.2,4.3,5.6,20.2
204,4.2,4.3,5.7,20.4
205,4.3,4.3,5.8,20.1
206,4.4,4.3,5.7,20.2
207,4.4,4.3,5.7,22.1
208,4.3,4.4,5.8,23.5
209,4.4,4.4,5.9,28.3
210,4.4,4.4,5.9,21.9
211,4.4,4.4,5.9,26.6
212,4.4,4.5,6,25.3
213,4.4,4.5,6,35.7
214,4.4,4.4,6,21.7
215,4.5,4.4,5.9,24.1
216,4.5,4.5,6,24.2
217,4.6,4.5,11.5,26.5
218,4.5,4.5,6.1,24.4
219,4.6,4.5,6.2,22.1
220,4.6,4.6,6.2,24.5
221,12,4.6,6.1,30.5
222,4.6,4.6,6.3,26.5
223,4.6,4.6,6.2,26.1
224,4.8,4.7,6.3,29.1
225,4.7,4.6,6.3,22.2
226,4.7,10.1,6.4,22.7
227,4.7,4.7,6.4,22.6
228,4.8,4.8,6.4,22.3
229,4.8,4.7,6.3,25.8
230,4.8,4.8,6.4,23.6
231,4.7,4.8,6.4,22.9
232,4.8,4.8,6.5,23.2
233,4.8,4.9,6.5,23.6
234,4.9,4.9,7,23.6
235,4.9,4.9,7.3,24
236,4.9,4.9,7.1,23.2
237,5,4.9,6.6,32.7
238,4.9,4.9,11.8,29.3
239,5,5,6.7,28.5
240,5,5,6.6,33.3
241,5,5,6.7,28.6
242,5,5,6.7,32.8
243,5,5,6.9,29.5
244,5.1,5.1,6.7,29.5
245,5.1,10.4,6.8,28.8
246,5.1,5.1,6.8,33.8
247,5.1,5.1,6.8,29
248,5.1,5.2,6.9,29.1
249,5.2,5.1,6.9,29.3
250,5.3,5.1,6.9,29.4
251,5.2,5.2,7,29.3
252,5.2,5.2,7,29.8
253,5.2,5.2,7.1,29.4
254,5.3,5.2,7.1,34.5
255,5.4,5.2,7,30.1
256,5.3,5.2,7.2,30
257,5.7,5.4,7.2,29.6
258,5.4,5.6,12.7,33.1
259,5.5,5.5,7.7,30.3
260,5.5,5.5,7.9,33
261,5.6,5.4,8,34.3
262,5.5,5.5,7.6,31.3
263,5.5,5.6,7.4,41.1
264,5.6,5.6,7.7,37.2
265,5.7,5.6,7.8,36.8
266,5.6,5.7,7.7,40.2
267,5.7,5.7,7.8,35.9
268,5.7,31.6,8.3,38.7
269,6.4,6.2,8.4,41.7
270,6.2,6.2,8.3,36.3
271,6.4,6.2,14,36.6
272,6.5,6.3,8.4,34.7
273,6.5,6.3,8.3,36
274,6.3,6.3,7.8,71.5
275,6.6,8.8,16.7,112.1
276,96.6,76.2,16.1,100.6
277,7.8,6.8,8.8,37.6
278,6.9,6.9,36,33.2
279,6.1,6,8,32.7
280,6.1,6.1,8,33.2
281,6.1,6,8,33.2
282,6.1,6,8.1,65.4
283,7.8,7.7,10.3,43.1
284,7.8,7.7,10.3,42.1
285,7.9,7.7,10.4,56.1
286,7.8,7.8,10.5,51.5
287,6.2,6.2,8.3,33.5
288,6.2,6.2,8.3,33.6
289,6.2,6.2,8.3,34.2
290,6.4,6.2,8.3,34.5
291,6.3,6.3,8.3,33.7
292,6.3,6.3,8.4,33.7
293,6.4,6.3,8.5,34.1
294,6.5,6.3,8.5,34.2
295,6.5,6.3,8.5,34
296,6.5,6.5,8.5,34.1
297,6.5,6.4,8.7,35.4
298,6.5,6.5,8.6,36.5
299,6.6,6.6,8.6,35.7
300,6.6,6.5,8.8,35.4
301,33.1,7.2,9.5,54.4
302,34.6,6.7,8.8,41.9
303,7.2,6.7,8.8,36.1
304,6.8,6.7,8.9,36.6
305,12.3,6.7,8.9,37.1
306,6.7,6.7,8.9,36.3
307,6.7,6.7,8.9,36.2
308,6.9,6.8,8.9,37.2
309,6.8,6.8,8.9,37.3
310,6.8,6.9,9,36.6
311,6.9,6.9,9,36.8
312,6.9,7,9.1,36.7
313,7,6.9,9.2,36.6
314,6.9,6.9,9.3,37.3
315,7,7.1,9.2,78.9
316,7.7,7.7,10.1,68
317,7.1,7,9.2,36.8
318,7,7.1,9.2,36.9
319,132.1,8,10.3,43.1
320,8.4,7.8,18.6,46.7
321,84,12.6,16.2,94
322,8.8,8.1,10.5,51.2
323,8.1,7.8,10.3,50.3
324,7.9,7.8,10.5,48.7
325,8,7.9,10.5,47.4
326,7.9,8.3,10.6,58.3
327,9.5,7.9,11,52.4
328,8.4,8.1,22.7,64.4
329,9.3,8.4,12.6,54.7
330,8.3,8.5,11.3,53.6
331,8.6,8.6,10.7,51.8
332,14.4,8.5,19.5,61.1
333,10.5,18.4,19.9,161.2
334,17.7,14.6,12.5,59.9
335,8.3,8.3,10.9,46.1
336,8.4,8.2,11,65.7
337,8.5,8.3,11.5,46
338,9,8.7,11,49.9
339,8.6,8.4,11.7,47.9
340,8.8,8.4,11.5,48.9
341,9,8.7,11.5,80.3
342,9.5,8.6,11.2,98
343,20.9,7.8,10.3,56.8
344,7.8,7.7,10.3,42.6
345,7.9,7.9,29.5,61.1
346,8.8,8.6,11.3,72.5
347,8.7,8.9,11.4,45.7
348,8.7,8.6,11.3,51.2
349,8.9,8.6,12.1,49.2
350,8.9,8.9,11.5,45.3
351,8.7,8.7,11.4,47.9
352,9.1,9,15.7,132.3
353,17.3,15.6,14.9,64.6
354,41.5,25.3,43.1,81.1
355,9,8.4,10.8,41.8
356,8.1,8.2,10.8,41.4
357,8.2,8.1,10.7,44.8
358,8.3,8.1,10.8,45.2
359,8.3,8.3,10.8,75.4
360,9,8.9,11.8,93.3
361,8.4,8.3,10.8,46.3
362,8.4,8.2,10.9,50.3
363,8.3,8.3,10.9,44.2
364,8.4,8.4,10.9,45
365,8.5,8.3,10.9,45.1
366,8.4,8.4,10.9,45.1
367,8.4,8.4,11.1,46.1
368,8.4,8.5,11.9,122.7
369,9.5,9.3,12.1,50.5
370,9.4,9.4,12.2,49.9
371,9.3,9.3,12.3,49.6
372,9.3,13.3,57.6,144.4
373,16.3,34.6,13.8,134.9
374,10.6,28.7,16.4,95.3
375,18.8,9.9,37.2,47.4
376,8.8,8.8,11.4,45.8
377,8.8,8.7,11.5,46
378,9.8,14.7,11.5,52.8
379,8.9,8.9,11.5,87.9
380,9.7,9.6,12.5,51.7
381,9.7,9.6,12.6,50.5
382,9.6,9.7,12.6,50.2
383,9.6,9.6,12.5,76.6
384,8.9,8.9,11.8,54
385,9,9,11.7,47.4
386,9,8.9,11.7,47.3
387,9.1,9,11.9,48.8
388,9.1,9,11.8,57.4
389,9.1,9.2,12,54.5
390,9.1,9.1,11.9,49.3
391,9.1,9.1,12,48.8
392,9.1,9.1,12,49
393,9.2,9.1,11.9,48.9
394,9.3,9.3,17.3,49.4
395,9.3,9.2,12,49.5
396,9.4,9.3,12.1,49.5
397,9.3,9.3,12.2,49.1
398,9.4,9.3,12.1,50
399,9.4,14.5,13.1,49.4
400,9.4,9.3,12.2,49.8
401,9.4,9.3,12.4,54.6
402,14.5,9.4,12.3,49
403,9.4,9.4,12.2,50.1
404,14.5,9.4,12.3,50.6
405,9.5,9.6,12.4,49
406,9.5,9.5,12.4,50.1
407,9.7,9.6,12.4,49.9
408,9.6,9.8,39.9,59.3
409,10.4,10.4,13.6,59.6
410,10.5,10.4,13.6,61
411,10.5,10.5,45.8,83.4
412,10.7,18.7,77.5,148.6
413,54.9,30,60.9,148.6
414,11.6,11,14,82.8
415,9.9,9.8,13,51.6
416,9.9,9.9,13.5,56
417,10,9.9,12.9,52.2
418,9.9,9.9,12.9,54.3
419,10,10,13.9,80.1
420,10.9,10.9,14,87.3
421,9.9,10,12.9,53.1
422,10,10,13,52.1
423,9.9,10,39.4,57.3
424,12.1,12.1,14.4,57.4
425,11.9,12.3,14.3,57
426,10.9,10.9,14.2,186.8
427,19.8,58.4,51.6,108.3
428,22.2,61.2,28.9,137.4
429,12.2,40.8,13.9,65.5
430,10.6,10.5,14.5,58.6
431,11.6,10,12.9,52.2
432,11.4,9.9,13.1,52.5
433,10,10,13.1,76.7
434,10.3,10.4,13.8,69.2
435,10.1,10.2,13.1,51.8
436,10.1,10.1,13.2,52.3
437,10.2,10.1,13.2,57.9
438,16.3,10.2,13.2,53.8
439,10.3,10.2,13.3,52.4
440,10.2,10.3,13.3,52.9
441,10.4,10.4,13.3,52.6
442,15.8,10.3,18.9,54.3
443,11.8,10.2,14.7,53.1
444,10.3,10.3,13.4,53.3
445,10.3,10.3,13.4,53.8
446,10.3,10.4,14.2,58.9
447,10.4,10.5,13.4,54.5
448,10.3,10.4,13.5,54.2
449,10.5,16.1,13.5,54.6
450,10.5,10.4,13.7,59.6
451,10.5,10.6,13.6,54.9
452,12.5,10.6,13.8,54.7
453,10.6,10.6,13.7,54.3
454,10.6,10.7,13.7,54.9
455,15.6,10.8,13.8,54.8
456,10.6,10.7,13.8,54.7
457,10.7,10.7,13.9,55.7
458,10.8,10.6,14.1,55.7
459,10.8,15.9,13.9,56.2
460,10.8,10.8,13.9,55.5
461,10.7,10.8,14.3,56.2
462,10.8,10.8,14.1,55.4
463,10.8,15.8,14.4,55.7
464,10.8,10.9,14.1,56.3
465,10.8,10.8,14.2,56.5
466,11,10.9,14.1,56
467,10.9,10.9,19.3,56.2
468,11,11,14.2,55.6
469,10.9,11,14.1,56.5
470,12.9,11,14.3,56.2
471,13.5,11,19.8,56.6
472,14.6,11.1,14.8,61
473,11,11.1,14.4,56.4
474,11.1,11.2,14.4,55.9
475,11.9,17.2,15.1,56.9
476,11.1,26.7,15,59
477,11.5,11.5,14.9,121.5
478,19.1,20.6,65.5,153.4
479,19.8,18.9,24.1,132.7
480,47.1,23.7,39.4,113.4
481,21,20.2,29.1,110.2
482,19.6,20.5,23.5,124.2
483,19.3,21.2,26.5,107.2
484,15.3,13,16.5,72.8
485,12.7,12.7,16.7,113.3
486,13.4,13,16.6,77
487,87.7,12.9,17.1,87.3
488,28.5,20.3,42.8,130.2
489,15.8,12.9,17.3,86.7
490,13.5,13.5,17.3,201.4
491,42.7,51.9,32.1,281
492,15.3,13.4,17.1,87.5
493,13.1,13.1,16.8,80.7
494,24.2,13.3,16.9,89
495,13.2,13.1,16.9,79
496,13.1,13.1,17.2,67.2
497,19.1,13.2,16.9,87.7
498,13.2,13.2,18.1,68.9
499,13.2,13.1,18.3,68.2
500,13.3,13.2,18.1,68.7
501,13.3,13.3,18.2,77.1
502,13.2,13.2,18.4,68.5
503,13.4,13.4,18.3,67.5
504,13.3,13.3,18.3,67.3
505,13.3,19,18.3,68.6
506,13.4,13.4,18.6,68.5
507,13.4,13.5,18.7,69
508,13.4,13.5,19,75.1
509,13.7,13.5,18.7,69.9
510,13.5,13.5,18.9,72.5
511,13.7,13.7,19.1,73
512,13.6,19.4,92.7,185.6
513,23.9,21.4,21.8,159.9
514,26,52.9,32.3,143.8
515,13.6,20.8,16.7,66.7
516,12.6,12.7,17.6,65.3
517,12.6,18.8,17.7,65.3
518,12.6,12.7,17.2,70.7
519,12.8,12.6,16.5,65.7
520,12.7,12.7,22.2,64.9
521,12.8,12.8,16.5,65.1
522,12.7,12.8,21.9,65.9
523,12.8,12.7,16.5,66.9
524,12.9,12.8,17.7,65.4
525,13,13,16.5,72.7
526,18.2,13.1,16.6,66.4
527,13.2,13.1,16.8,66.3
528,12.8,13,16.8,87.1
529,12.9,13,16.8,71.7
530,13.1,13.1,16.8,66.1
531,16.1,13,16.9,66
532,13.2,13.1,16.8,67.9
533,18.5,13.3,16.9,68
534,13.5,13.2,17,66.9
535,13.4,13.4,17,80
536,13.2,13.2,16.9,79.4
537,13.4,13.4,17.1,68.8
538,16.1,13.2,17,69.2
539,13.2,13.3,17.4,68.8
540,18.5,13.3,17.1,69.4
541,13.3,13.3,17.1,77
542,13.3,13.4,17.2,68.7
543,13.4,13.3,22.4,69.5
544,13.4,13.5,17.3,68.5
545,13.4,13.4,17.2,68.9
546,13.6,13.5,17.3,75
547,13.5,13.5,17.4,69.7
548,13.6,13.4,17.3,69.4
549,13.5,13.5,17.4,89.1
550,15.9,18.8,17.6,100.4
551,13.7,13.6,17.5,82.6
552,13.6,13.6,17.6,78.7
553,13.7,13.6,17.5,80.1
554,13.8,13.7,17.6,74.6
555,13.6,13.7,17.6,73.8
556,13.8,13.7,17.7,71
557,19,13.8,17.6,70.8
558,13.8,13.8,17.7,70.4
559,13.8,13.8,17.7,70.4
560,13.9,13.8,22.9,72.9
561,13.9,13.8,17.9,74.8
562,13.9,13.8,17.9,72.6
563,13.9,13.9,17.9,99.2
564,14,14,18,72.1
565,14,13.9,18.1,90.2
566,14,14,18,70.3
567,19.4,14.1,18.1,79.9
568,14.1,14,18.2,84.3
569,14.2,14.1,18.2,82.1
570,14.1,14.1,23.5,94
571,14.2,14.2,18.3,86.7
572,14.2,14.2,18.2,82.9
573,14.1,14.2,18.3,81.2
574,14.3,14.2,18.3,73.1
575,14.2,14.3,18.3,76.7
576,14.2,14.2,18.6,103
577,14.5,14.2,18.5,104.3
578,14.3,14.3,18.4,87.6
579,14.4,14.3,18.5,92.6
580,19.8,14.5,18.6,78.5
581,14.5,14.4,18.5,72.6
582,14.6,14.3,18.5,74.6
583,14.5,19.7,18.7,82.9
584,14.5,14.5,18.7,92.9
585,14.6,14.5,18.6,83.1
586,14.7,14.6,24.1,86.4
587,14.6,14.5,18.8,89.2
588,14.6,14.6,18.9,84.4
589,14.9,14.7,18.8,80.3
590,14.8,14.7,19,82.1
591,14.7,14.7,18.9,77.7
592,14.7,14.7,19,80.5
593,14.9,14.8,19,74.9
594,14.8,14.7,19,83.1
595,40.7,16.2,20.6,89.1
596,16,18.6,20.7,119.9
597,25.8,22.7,21,219.9
598,37.4,24.4,26.1,135.9
599,16.4,16.2,25.6,148.8
600,20,16.3,21.2,106.5
601,18.1,16.6,21.5,162.9
602,19.3,17.4,50.2,133.5
603,17.3,16.9,21.9,111.5
604,27.5,16.8,21.2,110.3
605,16.6,17.1,21.5,106.5
606,17.1,16.5,21.8,113.8
607,23,16.6,21.7,144.3
608,17.7,16.6,21.3,89.2
609,16.6,16.6,21.5,98.5
610,21.1,17.1,21.7,107
611,17.2,40.3,23.5,141.1
612,24.6,17.1,22.5,114.6
613,17,16.6,21.4,115.5
614,17.2,16.8,22,131.6
615,17.1,17.1,23.1,97.9
616,17,17.1,49.5,113.6
617,17.1,17.1,22,152.9
618,17.5,17.5,22.2,102.1
619,17.2,17.5,21.9,92.3
620,17.2,16.9,29,111.5
621,15.9,15.5,20.1,78.7
622,16,16,19.9,78.6
623,15.6,15.5,25.6,79.8
624,15.8,15.6,20,78.6
625,15.9,15.8,20.1,79.8
626,15.9,15.8,25.6,78.9
627,15.7,15.8,20.2,80.3
628,15.8,15.8,20.2,80.1
629,15.9,15.9,25.3,81.1
630,15.9,15.8,20.4,80.9
631,15.9,15.7,20.5,80
632,15.8,21.1,20.4,83.6
633,15.9,16.2,20.4,80.7
634,16.2,16.1,20.5,80.5
635,16,21.2,20.4,81.6
636,16,16,20.6,80.8
637,16,16,20.5,82.1
638,21.4,16.6,20.6,81.2
639,16.1,16.1,20.6,80.9
640,16.1,16.1,20.6,82.5
641,21.1,16.2,22.2,81.3
642,16.1,16.2,20.6,80.9
643,16.3,16.2,20.7,86.7
644,16.4,16.2,20.8,81.7
645,16.5,16.3,20.7,102
646,16.3,16.3,20.9,90.1
647,16.3,16.3,20.9,84.4
648,16.5,16.5,20.9,82.7
649,16.4,16.5,26.2,89.7
650,16.5,16.3,21.1,83.9
651,16.4,22.1,21.1,83.2
652,16.6,21.5,21.2,83.2
653,16.6,16.4,21.2,83.5
654,16.6,16.4,21.1,82.9
655,21.9,16.6,21.3,84.9
656,16.6,16.5,21.2,83.7
